site,region,scenario,year,water_year_type,flow_metric,current_value,reference_value,watercon_value,deltaH_cur_ref,deltaH_watercon_ref
101020,Oso and Small Creeks,"NA",1994,Moderate,DS_Dur_WS,196,NA,197,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,DS_Tim,246,NA,246,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,DS_Mag_50,0.0559,NA,0.0432,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,DS_Mag_90,0.063,NA,0.04952,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,FA_Dur,4,NA,4,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,FA_Mag,1.53569476968234,NA,1.47543890089924,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,FA_Tim,41,NA,41,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,SP_ROC,0.0661654135338346,NA,0.0727650727650727,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,SP_Dur,73,NA,73,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,SP_Mag,8.9315,NA,8.7517,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,SP_Tim,173,NA,173,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Wet_BFL_Dur,72,NA,72,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Wet_BFL_Mag_10,0.04681,NA,0.04011,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Wet_BFL_Mag_50,0.05235,NA,0.0442,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Wet_Tim,101,NA,101,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Tim_10,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Tim_2,142,NA,142,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Tim_5,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Dur_10,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Dur_2,1,NA,1,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Dur_5,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_10,29.76866,14.0213,29.3863,15.74736,15.364999999999998
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_2,10.0249,0.1291,9.7447,9.895800000000001,9.6156
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_5,24.38138,2.55830000000002,24.06888,21.82307999999998,21.51057999999998
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Fre_10,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Fre_2,1,NA,1,NA,NA
101020,Oso and Small Creeks,"NA",1994,Moderate,Peak_Fre_5,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,DS_Dur_WS,156,NA,155,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,DS_Tim,268,268,268,0,0
101020,Oso and Small Creeks,"NA",1995,Wet,DS_Mag_50,0.0683,NA,0.054,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,DS_Mag_90,0.07495,NA,0.05916,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,FA_Dur,13,NA,12,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,FA_Mag,3.75432976536803,NA,3.69609201728782,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,FA_Tim,61,NA,61,NA,NA
101020,Oso and Small Creeks,"NA",1995,Wet,SP_ROC,0.0589824202814204,0.00596664021551106,0.0397058823529413,0.05301578006590934,0.033739242137430236
101020,Oso and Small Creeks,"NA",1995,Wet,SP_Dur,67,103,67,-36,-36
101020,Oso and Small Creeks,"NA",1995,Wet,SP_Mag,4.3952,15.9802,4.3092,-11.585,-11.671
101020,Oso and Small Creeks,"NA",1995,Wet,SP_Tim,201,165,201,36,36
101020,Oso and Small Creeks,"NA",1995,Wet,Wet_BFL_Dur,125,92,124,33,32
101020,Oso and Small Creeks,"NA",1995,Wet,Wet_BFL_Mag_10,0.04768,0.079,0.03993,-0.03132,-0.03907
101020,Oso and Small Creeks,"NA",1995,Wet,Wet_BFL_Mag_50,0.0935,0.14375,0.0796,-0.05024999999999999,-0.06414999999999998
101020,Oso and Small Creeks,"NA",1995,Wet,Wet_Tim,76,73,77,3,4
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Tim_10,98,131,101,-33,-30
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Tim_2,128,103.5,128,24.5,24.5
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Tim_5,101,148.5,101,-47.5,-47.5
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Dur_10,2,2,1,0,-1
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Dur_2,9,256,9,-247,-247
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Dur_5,3,6,3,-3,-3
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_10,29.76866,14.0213,29.3863,15.74736,15.364999999999998
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_2,10.0249,0.1291,9.7447,9.895800000000001,9.6156
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_5,24.38138,2.55830000000002,24.06888,21.82307999999998,21.51057999999998
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Fre_10,2,2,1,0,-1
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Fre_2,6,2,6,4,4
101020,Oso and Small Creeks,"NA",1995,Wet,Peak_Fre_5,3,4,3,-1,-1
101020,Oso and Small Creeks,"NA",1996,Moderate,DS_Dur_WS,144,NA,163,NA,NA
101020,Oso and Small Creeks,"NA",1996,Moderate,DS_Tim,238,NA,219,NA,NA
101020,Oso and Small Creeks,"NA",1996,Moderate,DS_Mag_50,0.06585,NA,0.0516,NA,NA
101020,Oso and Small Creeks,"NA",1996,Moderate,DS_Mag_90,0.07168,NA,0.05802,NA,NA
101020,Oso and Small Creeks,"NA",1996,Moderate,FA_Dur,NA,NA,NA,NA,NA
101020,Oso and Small Creeks,"NA",1996,Moderate,FA_Mag,NA,NA,NA,NA,NA
