"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_2010-06-14 00:00:00_2",2010-06-14,0.782201944593987,0.728722061621888,0,-0.00095,-0.00085,0,NA,NA,NA,-0.006,0,0.02905,0,0,0,0.0016,-0.0062,0
"2","402BA0079","402BA0079_2008-05-28 00:00:00_1",2008-05-28,0.793628112070901,0.775198809224714,-0.5,-0.08245,-0.1514,-67,NA,NA,NA,9.1296,-8,14.5207,0,0,0,-0.0316,-0.08785,-6
"3","402BA0095","402BA0095_2008-05-29 00:00:00_1",2008-05-29,1.01646346415699,0.891027706280505,0,0,0,0,0,3e-04,0,-0.0032,0,-0.0017,-0.0046,0,-1,0,0.0012,0
"4","402BA0143","402BA0143_2008-05-21 00:00:00_1",2008-05-21,1.01065252717768,0.983947721064575,-159,-0.14105,-0.0489,-4,0,-207.7937,-42,38.6539,0,37.1923,0,0,0,-0.0925,-0.378,0
"5","402BA0287","402BA0287_2008-06-09 00:00:00_1",2008-06-09,1.28058213498969,1.15465365126101,0,-0.002,-0.0032,0,NA,NA,NA,-0.001,0,-0.00605,0,0,0,0.00655,0.00655,0
"6","402BA0335","402BA0335_2008-05-27 00:00:00_2",2008-05-27,0.723236229642546,0.664352916383173,-0.5,0.6024,0.63895,-4,-5,88.5127,0,15.7535,-4,26.2332,5e-04,0,0,0.0485,0.1528,-3
"7","403BA0015","403BA0015_2008-05-19 00:00:00_1",2008-05-19,1.16242699332883,1.03150651337298,0,0,0,0,NA,NA,NA,-0.00025,0,-0.0019,0,0,0,5e-05,0,0
"8","403BA0027","403BA0027_06/18/14_1",2014-06-18,0.945257169,1.02367677,0,-1e-04,-1e-04,0,NA,NA,NA,-0.0277,0,-0.0322,0,0,0,0.0052,0.0043,0
"9","403BA0136","403BA0136_06/17/14_1",2014-06-17,0.847510867,0.878007702,-0.5,-0.0061,-0.00435,0,NA,NA,NA,0.0077,0.5,-0.00435,-0.0035,0,0,-0.0059,-0.0014,0
"10","403BA0171","403BA0171_2008-05-19 00:00:00_1",2008-05-19,1.00163332094663,0.971393078867603,0,-0.0071,-0.0189,0,2,0.1167,0,0.145,0,-0.146,0,0,0,0.0182,-0.018,0
"11","403BA0960","403BA0960_2008-05-21 00:00:00_1",2008-05-21,1.00895479122498,0.926055105271116,1,0,0.898,0,NA,NA,NA,0,-72,0,0,0,-9,-0.7,-0.2298,26
"12","403CE0188","403CE0188_2016-05-26 00:00:00_1",2016-05-26,0.785250713449318,0.820410113365769,-3,0.07775,0.20175,-5,1,1.895,-3.5,1.526,-2,2.8005,2e-04,0,0,0.00265,0.0179,-1
"13","403S00640","403S00640_2009-06-11 00:00:00_2",2009-06-11,0.943640248706109,0.938774774352602,-2,-0.0089,0.0022,-0.5,-1,1.8923,-8,-0.00545,-0.5,-0.0655,0,0,0.5,-0.0092,0.07115,-1
"14","403S00831","403S00831_2010-06-10 00:00:00_1",2010-06-10,0.766520095382181,0.839555453087093,0,2e-04,-0.00035,0,NA,NA,NA,-0.00265,0,-0.0029,0,0,0,0.00025,-0.00015,0
"15","403S00875","403S00875_2010-06-24 00:00:00_1",2010-06-24,1.08305205470244,1.00593042513688,0,0,0,0,NA,NA,NA,1e-04,0,0,0,0,0,0,0,0
"16","403S01195","403S01195_2009-06-10 00:00:00_1",2009-06-10,0.916560756943602,0.820142741277559,0,-0.0143,-0.0228,0,-5,4.0565,0,0.6627,0,1.15605,0,0,0,-0.0053,-0.0232,0
"17","403S01536","403S01536_2011-07-12 00:00:00_2",2011-07-12,0.824554781518597,0.855361386527179,-6,0.01,0.01,-2,NA,NA,NA,0,27,0,-0.0298,-29,-29,-1.09,1.5,0
"18","403S01707","403S01707_2010-06-07 00:00:00_1",2010-06-07,1.05208143075099,0.897657625651159,-1,0.0013,-0.0162,0,NA,NA,NA,0.19775,0,0.04865,0,0,0,0.02995,-0.01205,0
"19","403S01728","403S01728_2011-07-13 00:00:00_1",2011-07-13,0.916725734540218,0.74873934609012,-7,0.01,0.01,-42,NA,NA,NA,0.4165,-43,1.0625,0.0458,0,39,0,0.2,-4
"20","403S01883","403S01883_2010-06-21 00:00:00_1",2010-06-21,0.869519254745484,0.919132104554503,0,1e-04,0.0076,-14,NA,NA,NA,0.0016,0,-0.00455,0,0,-32,0.0012,-0.0089,0
"21","403S02363","403S02363_2011-06-16 00:00:00_1",2011-06-16,0.727686267553356,0.820985223940028,0,-0.0086,-0.0646,0,0,5.651,0,1.22985,0,1.0653,0,0,0,-0.0406,-0.0073,0
"22","403S03643","403S03643_2010-06-24 00:00:00_2",2010-06-24,0.908992159354889,0.899092327396029,0,-0.01075,-0.0218,0,0,5.68165,0,1.2016,0,1.06155,0,0,0,-0.0069,-0.0125,0
"23","403S05291","403S05291_2010-06-07 00:00:00_1",2010-06-07,1.22585288955412,1.09531592078286,0,-0.045,-0.0211,0,-5,3.679,0,0.5949,0,1.129,0,0,0,-0.0047,-0.0313,0
"24","403S06139","403S06139_2012-06-27 00:00:00_1",2012-06-27,0.908940485156752,0.817239306464166,0,-0.0146,-0.025,0,0,4.2219,0,0.7515,0,1.1594,0,0,0,-0.0057,-0.0104,0
"25","403S06315","403S06315_2012-06-27 00:00:00_1",2012-06-27,1.1073808229958,1.040227451633,-1,0.00655,-0.0046,0,NA,NA,NA,0.0196,0,-0.00265,0,0,0,0.0204,-0.0073,0
"26","403S07024","403S07024_2012-06-13 00:00:00_1",2012-06-13,0.850381360792706,0.826920138153301,-1,0.17945,0.0674,-1,0.5,7.47335,-4.5,1.0021,-1,-0.7999,0,0,0,0,-0.36845,0
"27","403S07227","403S07227_2012-06-27 00:00:00_1",2012-06-27,1.12662873098227,1.07486551106897,0,-0.0126,-0.0226,0,0,5.0955,0,1.0313,0,0.94815,0,0,0,-0.0049,-0.0097,0
"28","403S16332","403S16332_2013-06-26 00:00:00_1",2013-06-26,1.00488729390409,0.898976865764096,-1,0.29055,0.2066,0,0,12.6917,-61,2.32875,0,-0.4008,0,0,0,0.0055,-0.67385,0
"29","403WE0501","403WE0501_2013-05-14 00:00:00_1",2013-05-14,1.06154286504498,1.03551556188517,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0
"30","403WE0534","403WE0534_2016-05-23 00:00:00_1",2016-05-23,0.957526354169247,0.839303494756114,0,0.14395,0.0319,-1,1,12.7679,0,1.0244,-1,-0.7786,0,0,0,0,-0.3528,-1
